Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0070098~chemokine-mediated signaling pathway,22,37.28813559,1.59E-36,"6373, 6372, 4283, 9034, 5473, 6374, 729230, 6387, 1230, 2921, 1524, 2920, 1237, 1234, 10803, 1233, 1232, 2919, 10563, 2829, 10663, 3627",59,71,16792,88.1890666,1.22E-33,1.22E-33,1.16E-33
GOTERM_BP_DIRECT,GO:0006935~chemotaxis,21,35.59322034,4.79E-29,"6373, 6372, 4283, 9034, 6374, 58191, 729230, 6387, 1230, 1524, 2920, 1237, 1234, 10803, 1233, 1232, 56477, 2919, 2829, 10663, 3627",59,122,16792,48.99027508,3.67E-26,1.83E-26,1.75E-26
GOTERM_BP_DIRECT,GO:0007186~G-protein coupled receptor signaling pathway,34,57.62711864,2.93E-27,"6373, 6372, 6374, 2771, 2792, 2921, 1237, 2920, 1234, 1233, 2783, 5159, 2829, 50831, 5733, 50832, 1814, 5879, 718, 4283, 9034, 5473, 729230, 259290, 6387, 1524, 10803, 2919, 801, 6754, 10563, 2917, 10663, 3627",59,899,16792,10.76389962,2.24E-24,7.48E-25,7.13E-25
GOTERM_BP_DIRECT,GO:0006954~inflammatory response,22,37.28813559,2.30E-20,"6373, 6372, 4283, 9034, 5473, 6374, 729230, 6387, 1230, 2921, 2920, 1234, 1233, 1232, 2919, 10563, 5733, 2829, 10663, 5879, 718, 3627",59,379,16792,16.52090694,1.76E-17,4.40E-18,4.20E-18
GOTERM_BP_DIRECT,GO:0006955~immune response,19,32.20338983,1.93E-15,"6373, 6372, 4283, 5473, 6374, 729230, 6387, 1230, 2921, 2920, 1237, 1234, 10803, 1233, 56477, 2919, 10563, 718, 3627",59,421,16792,12.84463948,1.45E-12,2.95E-13,2.82E-13
GOTERM_BP_DIRECT,GO:0007204~positive regulation of cytosolic calcium ion concentration,13,22.03389831,2.64E-14,"729230, 2782, 1230, 1237, 1234, 10803, 1233, 1232, 56477, 10563, 5733, 2829, 56923",59,134,16792,27.61143435,2.02E-11,3.36E-12,3.21E-12
GOTERM_BP_DIRECT,GO:0060326~cell chemotaxis,9,15.25423729,5.31E-11,"6372, 4283, 2920, 6374, 6387, 56477, 5159, 2919, 3627",59,65,16792,39.40756193,4.07E-08,5.81E-09,5.55E-09
GOTERM_BP_DIRECT,GO:0007165~signal transduction,22,37.28813559,1.02E-10,"6373, 9146, 6372, 4283, 6374, 6387, 6774, 2771, 2870, 2782, 2792, 5829, 1452, 2783, 5159, 2919, 6678, 50831, 5899, 50832, 718, 3627",59,1161,16792,5.393129827,7.82E-08,9.77E-09,9.32E-09
GOTERM_BP_DIRECT,GO:0032496~response to lipopolysaccharide,11,18.6440678,2.09E-10,"6373, 6372, 2921, 4283, 2920, 5473, 6374, 6678, 2919, 10563, 3627",59,164,16792,19.08970649,1.60E-07,1.78E-08,1.70E-08
GOTERM_BP_DIRECT,GO:0007267~cell-cell signaling,9,15.25423729,2.45E-06,"6373, 6372, 4283, 6374, 1234, 1230, 10563, 56923, 3627",59,254,16792,10.0846123,0.001873626026,1.44E-04,1.38E-04
GOTERM_BP_DIRECT,GO:0042127~regulation of cell proliferation,8,13.55932203,3.29E-06,"6373, 6372, 2921, 4283, 2920, 5473, 10563, 3627",59,185,16792,12.30746679,0.002517435619,1.80E-04,1.72E-04
GOTERM_BP_DIRECT,GO:0007155~cell adhesion,8,13.55932203,9.82E-04,"1524, 7450, 5829, 1237, 6387, 1232, 1230, 5879",59,459,16792,4.96052583,0.5290130487,0.02595017153,0.02476445873
