Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	22	37.28813559322034	1.588297541503245E-36	6373, 6372, 4283, 9034, 5473, 6374, 729230, 6387, 1230, 2921, 1524, 2920, 1237, 1234, 10803, 1233, 1232, 2919, 10563, 2829, 10663, 3627	59	71	16792	88.18906660300789	1.2166359167914855E-33	1.2166359167914855E-33	1.161045502838872E-33
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	21	35.59322033898305	4.7887762533946295E-29	6373, 6372, 4283, 9034, 6374, 58191, 729230, 6387, 1230, 1524, 2920, 1237, 1234, 10803, 1233, 1232, 56477, 2919, 2829, 10663, 3627	59	122	16792	48.990275076410114	3.6682026101002864E-26	1.8341013050501432E-26	1.750297720615737E-26
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	34	57.6271186440678	2.9276228027259228E-27	6373, 6372, 6374, 2771, 2792, 2921, 1237, 2920, 1234, 1233, 2783, 5159, 2829, 50831, 5733, 50832, 1814, 5879, 718, 4283, 9034, 5473, 729230, 259290, 6387, 1524, 10803, 2919, 801, 6754, 10563, 2917, 10663, 3627	59	899	16792	10.763899624818537	2.2425590668880568E-24	7.475196889626856E-25	7.133640895975498E-25
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	22	37.28813559322034	2.29929880112654E-20	6373, 6372, 4283, 9034, 5473, 6374, 729230, 6387, 1230, 2921, 2920, 1234, 1233, 1232, 2919, 10563, 5733, 2829, 10663, 5879, 718, 3627	59	379	16792	16.520906936183536	1.7612628816629296E-17	4.403157204157324E-18	4.201968559058752E-18
GOTERM_BP_DIRECT	GO:0006955~immune response	19	32.20338983050847	1.928034789962566E-15	6373, 6372, 4283, 5473, 6374, 729230, 6387, 1230, 2921, 2920, 1237, 1234, 10803, 1233, 56477, 2919, 10563, 718, 3627	59	421	16792	12.844639478239863	1.4457324226668788E-12	2.953749298222651E-13	2.8187868629252715E-13
GOTERM_BP_DIRECT	GO:0007204~positive regulation of cytosolic calcium ion concentration	13	22.033898305084744	2.63537540251989E-14	729230, 2782, 1230, 1237, 1234, 10803, 1233, 1232, 56477, 10563, 5733, 2829, 56923	59	134	16792	27.611434353655447	2.0155210833650017E-11	3.3644959305503933E-12	3.210765698736733E-12
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	9	15.254237288135593	5.31364350765193E-11	6372, 4283, 2920, 6374, 6387, 56477, 5159, 2919, 3627	59	65	16792	39.40756192959583	4.07024695059377E-8	5.814644181230541E-9	5.5489620058479445E-9
GOTERM_BP_DIRECT	GO:0007165~signal transduction	22	37.28813559322034	1.0204451059921271E-10	6373, 9146, 6372, 4283, 6374, 6387, 6774, 2771, 2870, 2782, 2792, 5829, 1452, 2783, 5159, 2919, 6678, 50831, 5899, 50832, 718, 3627	59	1161	16792	5.393129826712799	7.816607172639323E-8	9.770761889874617E-9	9.32431715600306E-9
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	11	18.64406779661017	2.089194197583214E-10	6373, 6372, 2921, 4283, 2920, 5473, 6374, 6678, 2919, 10563, 3627	59	164	16792	19.08970649028524	1.6003227620853266E-7	1.7781363948319356E-8	1.6968899538148105E-8
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	9	15.254237288135593	2.4482782802340982E-6	6373, 6372, 4283, 6374, 1234, 1230, 10563, 56923, 3627	59	254	16792	10.084612304817831	0.001873626025613917	1.4426008943533225E-4	1.3766857098854813E-4
GOTERM_BP_DIRECT	GO:0042127~regulation of cell proliferation	8	13.559322033898304	3.2906077560491064E-6	6373, 6372, 2921, 4283, 2920, 5473, 10563, 3627	59	185	16792	12.30746678882272	0.0025174356191335345	1.800432529381154E-4	1.7181673354799262E-4
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	8	13.559322033898304	9.82447747248268E-4	1524, 7450, 5829, 1237, 6387, 1232, 1230, 5879	59	459	16792	4.960525829917654	0.5290130487318083	0.0259501715307646	0.024764458732361515
