Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	34	57.6271186440678	7.503443610570205E-39	6373, 6372, 58191, 6374, 6773, 6774, 2771, 2870, 2792, 2921, 1237, 2920, 1234, 1233, 1232, 56477, 2783, 998, 2829, 5879, 4283, 5473, 729230, 6387, 2782, 1230, 5290, 1524, 5829, 10803, 2919, 10563, 10663, 3627	56	186	6879	22.4544930875576	1.0955027671432498E-36	1.0955027671432498E-36	9.229235641001352E-37
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	23	38.983050847457626	1.9515624256633064E-18	6373, 6372, 4283, 5473, 6374, 58191, 729230, 6387, 1230, 2921, 1524, 2920, 1237, 1234, 10803, 1233, 1232, 56477, 2919, 10563, 2829, 10663, 3627	56	243	6879	11.626763668430335	2.8492811414684276E-16	1.4246405707342138E-16	1.2002108917829334E-16
KEGG_PATHWAY	hsa05200:Pathways in cancer	14	23.728813559322035	9.117850071421611E-6	7474, 6387, 6774, 2771, 2782, 2792, 5290, 2783, 998, 5159, 405, 5733, 5899, 5879	56	393	6879	4.375954198473282	0.0013303265094460892	4.4373537014251837E-4	3.7383185292828603E-4
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	10	16.94915254237288	3.0094349217286616E-5	5829, 1237, 1234, 1233, 1232, 6774, 998, 5290, 5879, 718	56	205	6879	5.9921602787456445	0.004384202303424178	0.0010984437464309615	9.254012384315634E-4
KEGG_PATHWAY	hsa04014:Ras signaling pathway	10	16.94915254237288	6.473042630778122E-5	5781, 2783, 998, 5159, 2782, 801, 2792, 5899, 5290, 5879	56	226	6879	5.4353666245259165	0.009406428277934364	0.0018901284481872116	0.001592368487171418
KEGG_PATHWAY	hsa04724:Glutamatergic synapse	7	11.864406779661017	2.7164920794149074E-4	2783, 2771, 2782, 2792, 2917, 2916, 2912	56	114	6879	7.542763157894736	0.03888976912510256	0.005941226439400673	0.005005279808536184
KEGG_PATHWAY	hsa04670:Leukocyte transendothelial migration	7	11.864406779661017	2.8485332243701855E-4	5829, 5781, 6387, 2771, 998, 5290, 5879	56	115	6879	7.477173913043478	0.04074132802341979	0.005941226439400673	0.005005279808536184
KEGG_PATHWAY	hsa04728:Dopaminergic synapse	7	11.864406779661017	5.070763262251827E-4	2783, 2771, 2782, 801, 2792, 815, 1814	56	128	6879	6.7177734375	0.07137652173065023	0.009254142953609584	0.007796298515712184
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	8	13.559322033898304	9.82101631141433E-4	5829, 7474, 5781, 6774, 998, 5290, 815, 5879	56	200	6879	4.913571428571428	0.13364220236368018	0.01433868381466492	0.012079850063039625
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	7	11.864406779661017	0.006278693692915034	2771, 998, 5159, 801, 5899, 5290, 5879	56	210	6879	4.094642857142857	0.6013132219031094	0.05092718217586638	0.04290440690158606
KEGG_PATHWAY	hsa04080:Neuroactive ligand-receptor interaction	7	11.864406779661017	0.022382367196279906	6754, 2917, 5733, 2916, 1814, 56923, 2912	56	277	6879	3.1042418772563174	0.9632990070791165	0.12568560040987947	0.10588581404393956
