Sample id	CMS_subtype
TCGA-F4-6461-01	CMS4
TCGA-A6-6653-01	CMS1
TCGA-A6-A56B-01	CMS4
TCGA-D5-6532-01	CMS2
TCGA-AD-6963-01	CMS2
TCGA-A6-6138-01	NOLBL
TCGA-AA-3655-01	CMS3
TCGA-DM-A1D7-01	CMS2
TCGA-AY-6386-01	CMS3
TCGA-DM-A280-01	CMS3
TCGA-AD-6965-01	CMS2
TCGA-A6-4105-01	NOLBL
TCGA-AD-A5EK-01	CMS2
TCGA-D5-5538-01	CMS4
TCGA-CM-4743-01	CMS1
TCGA-CM-6166-01	CMS2
TCGA-D5-6922-01	CMS4
TCGA-CM-5862-01	CMS2
TCGA-DM-A1D9-01	CMS3
TCGA-AZ-6605-01	CMS4
TCGA-CM-6161-01	CMS2
TCGA-DM-A0XF-01	CMS2
TCGA-D5-6924-01	CMS4
TCGA-G4-6626-01	CMS2
TCGA-CM-5860-01	CMS4
TCGA-DM-A28G-01	CMS3
TCGA-AA-A01Z-01	NOLBL
TCGA-AZ-5407-01	CMS3
TCGA-AA-3495-01	CMS2
TCGA-AD-6548-01	NOLBL
TCGA-D5-6529-01	CMS4
TCGA-CM-4747-01	CMS2
TCGA-AA-3697-01	CMS2
TCGA-G4-6303-01	CMS2
TCGA-DM-A0X9-01	CMS2
TCGA-DM-A282-01	CMS2
TCGA-CM-6680-01	CMS3
TCGA-CK-4947-01	NOLBL
TCGA-CA-5796-01	CMS3
TCGA-D5-6540-01	CMS1
TCGA-NH-A50V-01	CMS4
TCGA-AA-3506-01	CMS2
TCGA-A6-2684-01	CMS4
TCGA-CM-6165-01	CMS4
TCGA-F4-6808-01	CMS2
TCGA-CM-6172-01	CMS2
TCGA-D5-6536-01	CMS4
TCGA-AA-3713-01	CMS1
TCGA-A6-A566-01	CMS4
TCGA-CM-6164-01	CMS2
TCGA-D5-6530-01	CMS3
TCGA-AA-3496-01	NOLBL
TCGA-CK-4948-01	CMS4
TCGA-AY-5543-01	NOLBL
TCGA-A6-6781-01	CMS4
TCGA-DM-A28H-01	CMS2
TCGA-DM-A285-01	NOLBL
TCGA-CA-5797-01	CMS2
TCGA-A6-5661-01	CMS1
TCGA-AA-3663-01	CMS3
TCGA-AZ-4313-01	CMS3
TCGA-DM-A0XD-01	NOLBL
TCGA-G4-6586-01	CMS1
TCGA-AZ-4616-01	CMS1
TCGA-CM-5349-01	CMS4
TCGA-F4-6569-01	CMS4
TCGA-AZ-4323-01	CMS4
TCGA-AU-3779-01	CMS2
TCGA-CM-6168-01	CMS4
TCGA-G4-6321-01	NOLBL
TCGA-DM-A28M-01	CMS3
TCGA-A6-5664-01	CMS4
TCGA-G4-6628-01	CMS1
TCGA-A6-5667-01	CMS2
TCGA-AZ-6599-01	CMS3
TCGA-QG-A5YV-01	CMS2
TCGA-A6-5656-01	CMS2
TCGA-AA-3511-01	NOLBL
TCGA-AZ-6607-01	CMS4
TCGA-A6-6648-01	CMS2
TCGA-CM-5344-01	CMS4
TCGA-AZ-6606-01	CMS3
TCGA-AA-3660-01	CMS2
TCGA-CM-6163-01	CMS2
TCGA-AD-6901-01	CMS4
TCGA-AZ-6600-01	CMS4
TCGA-A6-5660-01	CMS2
TCGA-D5-5539-01	NOLBL
TCGA-F4-6703-01	CMS4
TCGA-AZ-4684-01	NOLBL
TCGA-D5-6927-01	CMS1
TCGA-QG-A5Z2-01	CMS3
TCGA-CM-5861-01	CMS1
TCGA-AD-5900-01	CMS1
TCGA-CK-5914-01	CMS2
TCGA-D5-6533-01	CMS2
TCGA-DM-A1D0-01	CMS2
TCGA-A6-A567-01	CMS2
TCGA-F4-6805-01	CMS4
TCGA-QG-A5YX-01	CMS3
TCGA-G4-6322-01	CMS3
TCGA-F4-6809-01	CMS4
TCGA-AZ-6608-01	CMS2
TCGA-CA-5255-01	CMS3
TCGA-CK-6746-01	CMS1
TCGA-CM-6170-01	CMS2
TCGA-AD-6890-01	CMS2
TCGA-CA-5254-01	NOLBL
TCGA-AZ-5403-01	CMS4
TCGA-AY-6197-01	CMS1
TCGA-G4-6314-01	CMS4
TCGA-AD-6888-01	CMS2
TCGA-F4-6806-01	CMS3
TCGA-G4-6625-01	NOLBL
TCGA-A6-6137-01	CMS2
TCGA-D5-5537-01	CMS2
TCGA-A6-6782-01	CMS4
TCGA-AY-6196-01	CMS4
TCGA-D5-5540-01	CMS2
TCGA-CM-6679-01	CMS4
TCGA-CM-6167-01	CMS4
TCGA-G4-6320-01	CMS3
TCGA-AZ-4315-01	NOLBL
TCGA-CM-5864-01	CMS2
TCGA-CK-6751-01	CMS3
TCGA-A6-6140-01	CMS2
TCGA-D5-6930-01	CMS1
TCGA-AA-3492-01	CMS1
TCGA-DM-A1DB-01	CMS2
TCGA-CM-6171-01	CMS1
TCGA-A6-6654-01	CMS4
TCGA-CM-6675-01	CMS1
TCGA-G4-6323-01	CMS3
TCGA-CK-5913-01	CMS1
TCGA-D5-6541-01	CMS4
TCGA-AY-A54L-01	CMS3
TCGA-CK-4951-01	CMS1
TCGA-A6-A565-01	CMS4
TCGA-CK-5916-01	CMS1
TCGA-D5-6537-01	CMS2
TCGA-F4-6854-01	CMS2
TCGA-CM-5348-01	CMS4
TCGA-G4-6307-01	CMS2
TCGA-CM-5863-01	CMS4
TCGA-F4-6570-01	CMS1
TCGA-AA-3489-01	CMS4
TCGA-D5-6535-01	NOLBL
TCGA-CM-6162-01	CMS4
TCGA-AZ-6598-01	CMS1
TCGA-CM-6676-01	CMS2
TCGA-D5-6538-01	CMS2
