ID_REF	GSM1599177	GSM1599178	GSM1599179	GSM1599180	GSM1599181	GSM1599182	GSM1599183	GSM1599184	GSM1599185	GSM1599186	GSM1599187	GSM1599188	GSM1599189
ATRX	12.6875	7.6875	43.8125	22.166685	62.3542	79.4792	25.437515	11.916665	15.20835	7.91667	18.2708	5.701378	31.3958
BAPX1	NA	NA	NA	NA	NA	NA	NA	1.3125	0.395833	3.85417	NA	2.85417	NA
LOC92497	9.89583	35.5625	5.8125	11.8542	12.3542	19.6042	12.9792	5.52083	14.5625	15.0208	23.7292	25.3958	25.3125
LOC643634	NA	NA	18.0625	1.27083	NA	NA	2.4375	NA	NA	2.0625	NA	3.85417	NA
LOC643630	NA	0.104167	4.0625	NA	NA	NA	NA	NA	NA	NA	NA	6.35417	4.64583
LOC441205	NA	NA	2.14583	NA	3.22917	NA	NA	NA	1.14583	NA	2.8125	NA	1.35417
TCOF1	NA	NA	1.5625	NA	2.60417	NA	NA	NA	NA	NA	NA	NA	2.9375
LOC441208	3.0625	16.9375	3.27083	21.8125	NA	10.5208	NA	4.5625	7.27083	4.35417	16.5208	3.22917	1.3125
SPPL3	26.9375	10.9375	3.02083	25.7292	29.5625	21.0625	25.7292	28.6458	23.6875	4.0625	17.5208	20.5208	20.8125
OPA3	69.249915	70.687415	20.3958433333	48.52101	41.2500425	44.46861675	31.7603825	36.41665	47.7432233333	37.2708	39.71529	50.7709	51.257
OPA1	22.79165	24.104185	2.9375	57.7292	26.291665	30.375	15.02085	15.708335	36.437485	27.416685	42.125	34.58335	37.10415
RHEB	609.688	449.312	505.854	527.062	794.562	735.521	682.771	652.146	564.479	636.646	666.396	706.812	805.646
MGC39606	8.14583	4.10417	NA	7.1875	4.64583	6.5625	NA	NA	NA	5.8125	1.35417	NA	0.104167
KIAA0831	184.854	202.438	23.8958	181.188	219.562	224.729	325.438	196.854	205.062	94.5208	149.688	122.021	210.979
ITGA8	1.39583	5.02083	3.85417	4.4375	NA	6.35417	0.604167	5.02083	3.0625	4.64583	1.1875	0.979167	NA
ITGA9	20.1458	3.02083	65.3125	6.27083	14.4375	20.4792	19.0625	67.9375	43.6458	8.97917	13.7708	7.5625	18.1042
ITGA1	NA	NA	NA	NA	NA	NA	NA	9.4375	NA	5.02083	0.520833	NA	NA
ITGA2	3.85417	6.85417	10.9792	8.35417	7.27083	5.8125	14.7292	18.3958	5.35417	15.8125	12.3958	4.9375	10.8125
ITGA3	NA	15.1875	5.58333	4.3750015	4.77083	0.895833	2.0833315	2.9375	NA	NA	NA	6.500015	3.97917
ITGA4	81.1042	62.6875	19.2708	72.9375	200.312	196.396	139.062	22.2708	52.4792	80.0208	142.812	211.479	136.646
